Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
1	186.84938048012555	38.937661287840456	0.8998910562357336	0.9035783815811749	0.8337801608579088	0.8687150837988827
2	373.6093654690776	26.75092968577519	0.9407605312305457	0.9412349754528526	0.9195046439628483	0.8296089385474861
3	560.4886417731177	20.694714170880616	0.9536677733969703	0.9537730658540715	0.8682170542635659	0.9385474860335196
4	747.2493811589666	19.30691585596651	0.9643857646814691	0.9525986118164891	0.9242902208201893	0.8184357541899442
5	934.2354309109505	11.740926526486874	0.9646866569827766	0.963867022177078	0.9098360655737705	0.9301675977653632
6	1121.2173538100906	8.46453038789332	0.9709223905374559	0.967147028948705	0.907859078590786	0.9357541899441341
7	1308.221075596055	7.216445331927389	0.9665957667565884	0.9674115456238361	0.8921052631578947	0.946927374301676
8	1495.2870779689401	6.389400841668248	0.9712647852251505	0.963475537497884	0.9043715846994536	0.9245810055865922
9	1682.5944469829556	6.210450318641961	0.9669796638306702	0.9644701201963772	0.8801020408163265	0.9636871508379888
10	1869.57381737791	4.016906680073589	0.9721674621290725	0.9703741323853056	0.9350282485875706	0.9245810055865922
11	2056.709405122092	2.7721190131269395	0.9682766134052707	0.9676760622989674	0.9086021505376344	0.9441340782122905
12	2243.681693897117	2.8809040510095656	0.9696046897696617	0.9693689690198071	0.9123287671232877	0.9301675977653632
13	2430.797542016022	2.72620388912037	0.971607179912845	0.970300067716269	0.9175824175824175	0.9329608938547486
14	2617.3556169581134	2.068504513707012	0.9666787715293629	0.9692367106822415	0.912	0.9553072625698324
15	2804.280593973119	1.5554500739090145	0.9704762398837934	0.9704905197223633	0.9164420485175202	0.9497206703910615
16	2991.251635727007	1.166046165395528	0.970730442000415	0.9714004570848147	0.9211956521739131	0.946927374301676
17	3178.0700108620804	1.2689094254747033	0.9730182610500103	0.9715961994244117	0.9162162162162162	0.946927374301676
18	3365.3466738099232	1.4531391570344567	0.9726188005810336	0.9728076857965126	0.9209809264305178	0.9441340782122905
19	3552.4139577511232	1.465733792167157	0.9717264992737084	0.9710512950736414	0.9209809264305178	0.9441340782122905
20	3739.289601858938	0.999077299144119	0.9735889188628346	0.9725325884543761	0.9279778393351801	0.9357541899441341
21	3926.31021426199	0.8199087805114686	0.9695061216019921	0.9693954206873202	0.9083557951482479	0.9413407821229051
22	4113.794128776062	0.7711207563988864	0.9728678148993568	0.9715115540883698	0.9207650273224044	0.9413407821229051
23	4300.753265416017	0.6894565904513001	0.9733917825274954	0.9715274250888778	0.9182561307901907	0.9413407821229051
24	4487.675908216042	0.7039264608174562	0.9738794355675451	0.9723368461147791	0.9112903225806451	0.946927374301676
25	4674.6121113710105	0.6603773352690041	0.9742840838348203	0.9728605891315388	0.9186991869918699	0.946927374301676
26	4861.578835045919	0.8379128687083721	0.9731531438057689	0.9727600727949891	0.9232876712328767	0.9413407821229051
27	5048.652155495016	0.5433111768215895	0.9736511724424155	0.9734636871508381	0.9184782608695652	0.9441340782122905
28	5235.586869542953	0.6970486198551953	0.9736874870305042	0.9730933638056544	0.9186991869918699	0.946927374301676
29	5422.433263262035	0.6757203754968941	0.9730960780244865	0.9720194261046216	0.9162162162162162	0.946927374301676
30	5609.358740321128	0.5618950100615621	0.9740039427267068	0.9730034281361097	0.9186991869918699	0.946927374301676
31	5796.200558732031	0.5505418633110821	0.9737704918032786	0.972786524462502	0.9234972677595629	0.9441340782122905
32	5983.328169581946	0.4512528055347502	0.9742114546586429	0.9740722024716438	0.9209809264305178	0.9441340782122905
33	6170.305372405099	0.437967536970973	0.9736719236356091	0.9725114271203656	0.9209809264305178	0.9441340782122905
34	6357.106443257071	0.5275964927859604	0.973064951234696	0.9721463941086845	0.9132791327913279	0.9413407821229051
35	6543.9164991460275	0.44545839354395866	0.9733554679394065	0.9727706534619942	0.9182561307901907	0.9413407821229051
36	6730.825762867928	0.492871961556375	0.9738690599709483	0.9731938801422041	0.9182561307901907	0.9413407821229051
37	6917.715763169108	0.4449363900348544	0.9736252334509234	0.9724743947858474	0.9135135135135135	0.9441340782122905
38	7104.588946657954	0.6149302241392434	0.9732828387632289	0.9721940071102081	0.9110512129380054	0.9441340782122905
39	7291.494752291124	0.48879199381917715	0.9731116414193816	0.9720088454376165	0.9086021505376344	0.9441340782122905
40	7478.385640468914	0.4330909256823361	0.9734436605104794	0.9722945234467582	0.9135135135135135	0.9441340782122905
