Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	PRC_test
1	929.7306109778583	3262.357304699719	0.8511516834694253	0.8475877858652217	0.8440228330611188
2	1883.0675551304594	2344.686012171209	0.8722165020250269	0.8679349805730936	0.8611574606809698
3	2876.180287248455	2093.003927446902	0.8895108641422385	0.8864145722033349	0.8787015467067963
4	3872.98814123217	1950.3698190934956	0.8933927105192887	0.891887642400075	0.8833720642068775
5	4845.872906243429	1850.7683551032096	0.9060537129081765	0.9050112551442958	0.8933889280783605
6	5792.11271699518	1771.3821476567537	0.9123881258966665	0.9120182281681621	0.9013226004118966
7	6724.473984058946	1704.2268968708813	0.916217066862436	0.9128454559784599	0.9025352826297346
8	7668.181472079828	1629.6553636863828	0.9223489002215486	0.9187810335241942	0.909313051085989
9	8627.178888394497	1593.7560998871922	0.9229188678524147	0.9203334419706383	0.9113143265470234
10	9600.921517154202	1546.2423489000648	0.9208093848171601	0.9194612148845889	0.9083193500162241
11	10568.076091661118	1512.258179096505	0.9273341931584902	0.925828678970374	0.9183533587575414
12	11569.181271227077	1478.0333267515525	0.932769727177375	0.9303650852483321	0.9232379456571207
13	12552.46845834516	1442.1835222952068	0.9293736486675405	0.927482868323066	0.9214624753945322
14	13531.039378600195	1400.719233110547	0.928673373405495	0.9271166833882911	0.9197184701658546
15	14502.586825224571	1370.009350833483	0.9265102795534758	0.9247506933616216	0.9164657069263059
16	15495.35247594677	1337.4121696264483	0.9349757225083604	0.9321231856505032	0.9267573874984426
17	16482.0903381845	1304.0277151810005	0.9376409368092639	0.9344612841142439	0.9292475695666165
18	17470.235902122222	1299.3411273332313	0.9378796203738546	0.9368577618159044	0.9317839807275585
19	18470.575986595824	1251.2276313109323	0.9359922759382086	0.9345960156735938	0.9288673186639026
20	19456.738347748294	1228.730799537152	0.9367517411331171	0.9338294303783986	0.9310140123637325
21	20453.410300137475	1210.0704985130578	0.9399389554919921	0.9374847561625044	0.9334296427814821
22	21454.84762604162	1180.0265806736425	0.9393718094830609	0.937130020747595	0.9337098829256409
23	22450.716710450128	1174.416954989545	0.9381034262955157	0.9367998485468162	0.9327307233280518
24	23451.33397231158	1142.8937458219007	0.9400180891617139	0.9376040441834308	0.9340292107605082
25	24430.84184638504	1136.5517199677415	0.9395180208015099	0.9372644860390412	0.93385435500822
26	25429.167868818156	1107.2927191676572	0.9362395526241468	0.934625238576042	0.9323484346153277
27	26413.979051884264	1088.8080034242012	0.9395707338294771	0.9375380763102511	0.9337763397502742
28	27398.94313916471	1075.4201949117705	0.9414504470603445	0.9413184148752162	0.9386152479650973
29	28381.574038811028	1045.437046630308	0.9435596735845142	0.9412192300810307	0.9388696883781096
30	29373.584265414625	1039.892877400387	0.9410134162992787	0.9396860594906402	0.9372231504729812
31	30368.7897676602	1017.4310772051103	0.9438202247191012	0.9429345944846332	0.9382935325385724
32	31344.186794766225	1018.4099628096446	0.938754643812555	0.9388196902984757	0.9353748942107815
33	32335.576354245655	993.9045364297926	0.9430142027622652	0.9417982296379608	0.9372342799584508
34	33304.59333763085	978.8201855928637	0.9423667046559585	0.942561220316454	0.9399288851598948
35	34278.808856938966	953.8023096378893	0.9459335554206307	0.9451469479307789	0.942703159395039
36	35270.0957255587	949.5504005146213	0.9461078547028869	0.9445061742201547	0.9408849516337354
37	36261.15595342312	934.7656916868873	0.949575948699835	0.9507351789959357	0.9487194726728855
38	37232.19872313086	924.6606378946453	0.9394135566621443	0.9378048101829367	0.9330659554368651
39	38249.42918008845	906.4791217749007	0.9452212882653617	0.9429728039288362	0.9391070996525154
40	39179.472022539005	892.7737598759122	0.9466585840023783	0.9467116712677761	0.942924685933414
41	40104.73657997511	882.2045872248709	0.949326171030818	0.9486877119492514	0.945243490481247
42	41037.12822037004	864.1411776826717	0.9443308100337903	0.944787885662432	0.9415839318751962
